date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:33	3773/3773	---M--	200	added ('OK')	image/jpeg	etag:%22ebd-5f9c0c67a4869%22	https://coderthemes.com/hyper_2/saas/assets/images/users/avatar-4.jpg	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/users/avatar-4.jpg	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:33	3287/3287	---M--	200	added ('OK')	image/png	etag:%22cd7-5f9c0c679fa49%22	https://coderthemes.com/hyper_2/saas/assets/images/brands/slack.png	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/brands/slack.png	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:34	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5f9c0c679fa49%22	https://coderthemes.com/hyper_2/saas/assets/images/brands/github.png	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/brands/github.png	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:34	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5d5bf409b44ff%22	https://coderthemes.com/hyper_2/saas/assets/images/brands/dribbble.png	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/brands/dribbble.png	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:35	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5d5bf409b44ff%22	https://coderthemes.com/hyper_2/saas/assets/images/brands/bitbucket.png	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/brands/bitbucket.png	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:35	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5d5bf409b44ff%22	https://coderthemes.com/hyper_2/saas/assets/images/brands/dropbox.png	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/brands/dropbox.png	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:35	4375/4375	---M--	200	added ('OK')	image/png	etag:%221117-5f9c0c679fa49%22	https://coderthemes.com/hyper_2/saas/assets/images/brands/g-suite.png	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/brands/g-suite.png	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:35	2967/2967	---M--	200	added ('OK')	image/jpeg	etag:%22b97-5f9c0c67a4869%22	https://coderthemes.com/hyper_2/saas/assets/images/users/avatar-1.jpg	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/assets/images/users/avatar-1.jpg	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:36	142454/142454	---M-Z	200	added ('OK')	text/html	etag:%2222c76-616fa41958ed7-gzip%22	https://coderthemes.com/hyper_2/saas/pages-profile.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/pages-profile.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:37	153040/153040	---M-Z	200	added ('OK')	text/html	etag:%22255d0-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/dashboard-analytics.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/dashboard-analytics.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:37	164172/164172	---M-Z	200	added ('OK')	text/html	etag:%222814c-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/dashboard-projects.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/dashboard-projects.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:37	152997/152997	---M-Z	200	added ('OK')	text/html	etag:%22255a5-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/dashboard-crm.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/dashboard-crm.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:37	187118/187118	---M-Z	200	added ('OK')	text/html	etag:%222daee-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/dashboard-wallet.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/dashboard-wallet.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:37	133273/133273	---M-Z	200	added ('OK')	text/html	etag:%2220899-616fa418e1c99-gzip%22	https://coderthemes.com/hyper_2/saas/apps-calendar.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/apps-calendar.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:38	163301/163301	---M-Z	200	added ('OK')	text/html	etag:%2227de5-616fa418e2c39-gzip%22	https://coderthemes.com/hyper_2/saas/apps-chat.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/apps-chat.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:38	178617/178617	---M-Z	200	added ('OK')	text/html	etag:%222b9b9-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/crm-projects.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/crm-projects.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:39	158705/158705	---M-Z	200	added ('OK')	text/html	etag:%2226bf1-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/crm-orders-list.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/crm-orders-list.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:39	149325/149325	---M-Z	200	added ('OK')	text/html	etag:%222474d-616fa4194c3b7-gzip%22	https://coderthemes.com/hyper_2/saas/crm-clients.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/crm-clients.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:39	186159/186159	---M-Z	200	added ('OK')	text/html	etag:%222d72f-616fa4194d357-gzip%22	https://coderthemes.com/hyper_2/saas/crm-management.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/crm-management.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:39	169278/169278	---M-Z	200	added ('OK')	text/html	etag:%222953e-616fa418e3bd9-gzip%22	https://coderthemes.com/hyper_2/saas/apps-ecommerce-products.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/apps-ecommerce-products.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:40	137051/137051	---M-Z	200	added ('OK')	text/html	etag:%222175b-616fa418e3bd9-gzip%22	https://coderthemes.com/hyper_2/saas/apps-ecommerce-products-details.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/apps-ecommerce-products-details.html	(from https://coderthemes.com/hyper_2/saas/index.html)
19:01:40	152837/152837	---M-Z	200	added ('OK')	text/html	etag:%2225505-616fa418e3bd9-gzip%22	https://coderthemes.com/hyper_2/saas/apps-ecommerce-orders.html	C:/Users/test/Desktop/Biblioteca-udi/coderthemes.com/hyper_2/saas/apps-ecommerce-orders.html	(from https://coderthemes.com/hyper_2/saas/index.html)
